Fecha;Cierre
8/1/2022; $73,08 
8/8/2022; $78,47 
8/15/2022; $79,46 
8/22/2022; $82,84 
8/29/2022; $79,96 
9/6/2022; $80,60 
9/12/2022; $78,44 
9/19/2022; $70,48 
9/26/2022; $72,02 
10/3/2022; $81,80 
10/10/2022; $80,28 
10/17/2022; $86,93 
10/24/2022; $89,25 
10/31/2022; $91,42 
11/7/2022; $93,13 
11/14/2022; $91,63 
